destination_id,destination_name,country,continent,avg_cost_per_day_usd,season,climate,activities,travel_style,avg_rating,num_reviews,beach,mountains,culture,adventure,relaxation,family_friendly,budget_friendly,luxury,urban,rural,safety_rating,tourist_density,cost_category,rating_category,popularity_score,nature_score,activity_diversity,value_for_money,tourist_density_encoded,continent_Asia,continent_Asia/Europe,continent_Caribbean,continent_Central America,continent_Europe,continent_Europe/Asia,continent_Middle East,continent_North America,continent_Oceania,continent_South America,climate_Cold,climate_Continental,climate_Desert,climate_Mediterranean,climate_Mountain,climate_Temperate,climate_Tropical,climate_Varied,season_Spring/Summer,season_Summer,season_Summer/Winter,season_Winter,season_Winter/Summer,season_Year-round
1,Bali,Indonesia,Asia,-0.7933959391381081,Year-round,Tropical,"Beach,Temple,Surfing,Yoga","Relaxation,Adventure",0.3617405419761626,-0.4084640196798693,1,0,1,1,1,1,1,0,0,1,-0.3882759992081713,High,Budget,Very Good,Medium,0.24735696564124252,1.4971724762794743,0.6714631554289011,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2,Paris,France,Europe,0.9593196848783307,Spring/Fall,Temperate,"Museums,Shopping,Dining,Sightseeing","Culture,Luxury",1.1656084130343,2.1201794597723085,0,0,1,0,0,1,0,1,1,0,0.2090716918813281,Very High,Expensive,Excellent,Very High,-1.6078202766680767,-1.4320780207890624,-0.9406767185193846,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,Tokyo,Japan,Asia,0.2582334352717552,Spring/Fall,Temperate,"Technology,Dining,Shopping,Culture","Culture,Urban",1.969476284092445,1.1558662684557999,0,0,1,0,0,1,0,1,1,0,1.105093228515576,Very High,Mid-range,Excellent,High,-1.6078202766680767,-1.4320780207890624,-0.5793350226344238,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,Maldives,Maldives,Asia,3.0625784336980573,Winter,Tropical,"Diving,Snorkeling,Beach,Spa","Relaxation,Luxury",1.969476284092445,-1.2013437547623318,1,0,0,0,1,0,0,1,0,1,0.8064193829708275,Medium,Luxury,Excellent,Medium,0.24735696564124252,-0.4556611884328836,-1.3576094445404927,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
5,New York,USA,North America,1.6604059344849063,Spring/Fall,Continental,"Museums,Shopping,Theater,Dining","Urban,Culture",-0.44212732908198205,3.0130620443246303,0,0,1,0,0,1,0,1,1,0,-0.6869498447529196,Very High,Expensive,Very Good,Very High,-1.6078202766680767,-1.4320780207890624,-1.1741590450912052,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6,Iceland,Iceland,Europe,0.6788851850357005,Summer,Cold,"Northern Lights,Hiking,Hot Springs","Adventure,Nature",1.1656084130343,-0.737044810795124,0,1,0,1,0,1,0,0,0,1,1.403767074060327,Medium,Expensive,Excellent,Medium,0.24735696564124252,-0.4556611884328836,-0.829494658247089,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
7,Dubai,UAE,Asia,1.239754184720961,Winter,Desert,"Shopping,Luxury,Beach,Architecture","Luxury,Urban",0.3617405419761626,0.8344285380169637,1,0,0,0,1,1,0,1,1,0,0.5077455374260765,Very High,Expensive,Very Good,High,-0.6802316555134171,-0.4556611884328836,-1.050595346288586,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
8,Rome,Italy,Europe,-0.16241831449219013,Spring/Fall,Mediterranean,"History,Dining,Museums,Architecture","Culture,Food",0.3617405419761626,1.6558805158051004,0,0,1,0,0,1,0,0,1,0,-0.08960215366342027,Very High,Mid-range,Very Good,Very High,-1.6078202766680767,-1.4320780207890624,-0.30832875072070337,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,Costa Rica,Costa Rica,Central America,-0.5830700642561355,Year-round,Tropical,"Hiking,Wildlife,Zip-lining,Beach","Adventure,Nature",-0.44212732908198205,0.048691863610919886,1,1,0,1,0,1,1,0,0,1,0.2090716918813281,Medium,Mid-range,Very Good,High,1.174945586795902,0.5207556439232953,0.1896742275822869,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
10,Santorini,Greece,Europe,0.3984506851930703,Summer,Mediterranean,"Beach,Photography,Dining,Sunset","Relaxation,Romantic",1.1656084130343,0.2629836839034773,1,0,1,0,1,0,0,1,0,1,0.5077455374260765,High,Expensive,Excellent,High,0.24735696564124252,0.5207556439232953,-0.6905170829067196,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
11,Bangkok,Thailand,Asia,-1.0037218140200808,Winter,Tropical,"Temples,Markets,Dining,Shopping","Budget,Culture",-1.2459952001401196,1.4058733921304503,0,0,1,0,0,1,1,0,1,0,-0.9856236902976707,Very High,Budget,Good,Very High,-1.6078202766680767,-1.4320780207890624,1.1856801841882683,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
12,Swiss Alps,Switzerland,Europe,2.0810576842488517,Winter/Summer,Alpine,"Skiing,Hiking,Photography,Chocolate","Adventure,Luxury",1.1656084130343,-0.5227529905025665,0,1,0,1,1,1,0,1,0,1,1.403767074060327,Medium,Luxury,Excellent,Medium,0.24735696564124252,0.5207556439232953,-1.2265734449338588,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,Machu Picchu,Peru,South America,-0.30263556441350525,Spring/Fall,Mountain,"Hiking,History,Photography,Culture","Adventure,Culture",1.969476284092445,0.5844214143423134,0,1,1,1,0,1,1,0,0,1,-0.3882759992081713,High,Mid-range,Excellent,High,0.24735696564124252,0.5207556439232953,-0.08406948142147112,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14,Sydney,Australia,Oceania,0.6788851850357005,Spring/Fall,Temperate,"Beach,Opera,Wildlife,Harbor","Urban,Beach",0.3617405419761626,0.9058591447811496,1,0,1,0,0,1,0,0,1,0,0.8064193829708275,High,Expensive,Very Good,High,-0.6802316555134171,-0.4556611884328836,-0.8526575874704838,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,Morocco,Morocco,Africa,-0.7232873141774506,Spring/Fall,Desert,"Markets,Desert,Culture,Food","Culture,Adventure",-1.2459952001401196,-0.05845404653535883,0,1,1,1,0,1,1,0,0,1,-1.2842975358424191,High,Mid-range,Good,High,0.24735696564124252,0.5207556439232953,0.40393132289869,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
16,New Zealand,New Zealand,Oceania,0.11801618535044009,Summer,Temperate,"Hiking,Adventure Sports,Wildlife","Adventure,Nature",1.969476284092445,0.4415602008139418,1,1,0,1,0,1,0,0,0,1,1.105093228515576,Low,Mid-range,Excellent,High,1.174945586795902,0.5207556439232953,-0.4820507198961651,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
17,Barcelona,Spain,Europe,0.11801618535044009,Spring/Summer,Mediterranean,"Beach,Architecture,Dining,Art","Culture,Beach",0.3617405419761626,1.5130193022767289,1,0,1,0,0,1,0,0,1,0,0.2090716918813281,Very High,Mid-range,Very Good,Very High,-0.6802316555134171,-0.4556611884328836,-0.5416125378991806,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
18,London,UK,Europe,1.239754184720961,Summer,Temperate,"Museums,Theater,Shopping,History","Culture,Urban",-0.44212732908198205,2.4773324935932375,0,0,1,0,0,1,0,1,1,0,-0.08960215366342027,Very High,Expensive,Very Good,Very High,-1.6078202766680767,-1.4320780207890624,-1.069546833835,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
19,Caribbean Islands,Multiple,Caribbean,0.6788851850357005,Winter,Tropical,"Beach,Snorkeling,Relaxation,Sailing","Relaxation,Beach",-0.44212732908198205,0.8344285380169637,1,0,0,0,1,1,0,0,0,1,-0.08960215366342027,High,Expensive,Very Good,High,0.24735696564124252,-0.4556611884328836,-0.8758205166938788,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
20,Vietnam,Vietnam,Asia,-1.143939063941396,Winter,Tropical,"Culture,Food,History,Beach","Budget,Culture",-0.44212732908198205,0.19155307713929148,1,0,1,0,0,1,1,0,0,1,-0.6869498447529196,High,Budget,Very Good,High,0.24735696564124252,-0.4556611884328836,1.894465818424152,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
21,Norway,Norway,Europe,1.099536934799646,Summer,Cold,"Fjords,Northern Lights,Hiking,Wildlife","Nature,Adventure",1.1656084130343,-0.5941835972667524,0,1,0,1,0,1,0,0,0,1,1.403767074060327,Low,Expensive,Excellent,Medium,0.24735696564124252,-0.4556611884328836,-0.9883261729217969,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
22,Egypt,Egypt,Africa,-0.8635045640987657,Winter,Desert,"Pyramids,History,Nile,Museums","Culture,History",-2.0498630711982573,0.7629979312527779,1,1,1,0,0,1,1,0,0,1,-1.5829713813871689,Very High,Budget,Good,High,1.174945586795902,0.5207556439232953,0.6794047311626369,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
23,Portugal,Portugal,Europe,-0.4428528143348204,Spring/Fall,Mediterranean,"Beach,History,Surfing,Wine","Culture,Relaxation",0.3617405419761626,0.08440716699301279,1,0,1,0,1,1,1,0,0,1,0.5077455374260765,High,Mid-range,Very Good,High,0.24735696564124252,0.5207556439232953,0.018268551329164804,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24,Singapore,Singapore,Asia,0.6788851850357005,Year-round,Tropical,"Shopping,Food,Gardens,Culture","Urban,Family",0.3617405419761626,0.6201367177244064,0,0,1,0,0,1,0,1,1,0,1.403767074060327,Very High,Expensive,Very Good,High,-1.6078202766680767,-1.4320780207890624,-0.8526575874704838,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
25,Nepal,Nepal,Asia,-1.284156313862711,Spring/Fall,Mountain,"Trekking,Temples,Culture,Mountains","Adventure,Budget",0.3617405419761626,-0.23703056344582335,0,1,1,1,0,0,1,0,0,1,-1.2842975358424191,Medium,Budget,Very Good,Medium,0.24735696564124252,0.5207556439232953,2.957644269777979,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,Croatia,Croatia,Europe,-0.30263556441350525,Summer,Mediterranean,"Beach,History,Islands,Sailing","Culture,Beach",-0.44212732908198205,-0.3441764735921021,1,0,1,0,1,1,0,0,0,1,0.2090716918813281,High,Mid-range,Very Good,Medium,0.24735696564124252,0.5207556439232953,-0.1977784066999555,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
27,Canada,Canada,North America,0.2582334352717552,Summer/Winter,Continental,"Nature,Skiing,Cities,Wildlife","Nature,Adventure",0.3617405419761626,0.2986989872855702,0,1,0,1,0,1,0,0,0,1,1.105093228515576,Low,Mid-range,Very Good,High,0.24735696564124252,-0.4556611884328836,-0.6349260527705717,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
28,India,India,Asia,-1.2140476889020535,Winter,Varied,"Temples,Culture,Food,History","Budget,Culture",-1.2459952001401196,1.0487203583095213,1,1,1,1,0,1,1,0,1,1,-1.8816452269319184,Very High,Budget,Good,High,1.174945586795902,1.4971724762794743,2.228011999241039,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
29,South Africa,South Africa,Africa,-0.5129614392954779,Spring/Fall,Varied,"Safari,Wine,Beach,Adventure","Adventure,Nature",-0.44212732908198205,-0.12988465329954463,1,1,0,1,0,1,0,0,0,1,-0.9856236902976707,Medium,Mid-range,Very Good,High,1.174945586795902,0.5207556439232953,0.07751688607953275,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
30,Argentina,Argentina,South America,-0.653178689216793,Spring/Fall,Varied,"Wine,Tango,Nature,Food","Culture,Adventure",-0.44212732908198205,-0.27274586682791624,1,1,1,1,0,1,1,0,1,1,-0.3882759992081713,Medium,Mid-range,Very Good,Medium,1.174945586795902,1.4971724762794743,0.31502655043830635,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
31,Turkey,Turkey,Europe/Asia,-0.7933959391381081,Spring/Fall,Mediterranean,"History,Food,Beach,Markets","Culture,Budget",-0.44212732908198205,0.5487061109602205,1,0,1,0,0,1,1,0,1,0,-0.6869498447529196,High,Budget,Very Good,High,-0.6802316555134171,-0.4556611884328836,0.6158721252927531,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
32,Scotland,Scotland,Europe,0.11801618535044009,Summer,Temperate,"Castles,Whisky,Hiking,History","Culture,Nature",-0.44212732908198205,-0.45132238373838074,0,1,1,0,0,1,0,0,0,1,0.8064193829708275,Medium,Mid-range,Very Good,Medium,0.24735696564124252,-0.4556611884328836,-0.5713934469006886,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
33,Jordan,Jordan,Middle East,-0.5830700642561355,Spring/Fall,Desert,"Petra,History,Desert,Culture","Culture,Adventure",0.3617405419761626,-0.6298989006488452,1,1,1,1,0,1,0,0,0,1,-0.3882759992081713,Medium,Mid-range,Very Good,Medium,1.174945586795902,1.4971724762794743,0.23600008602907693,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
34,Mexico,Mexico,North America,-0.8635045640987657,Year-round,Varied,"Beach,Ruins,Food,Culture","Culture,Beach",-0.44212732908198205,1.120150965073707,1,1,1,0,1,1,1,0,0,1,-1.5829713813871689,Very High,Budget,Very Good,High,1.174945586795902,1.4971724762794743,0.7985283671686675,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,Austria,Austria,Europe,0.3984506851930703,Winter/Summer,Alpine,"Music,Palaces,Skiing,Culture","Culture,Luxury",0.3617405419761626,-0.30846117021000913,0,1,1,0,0,1,0,1,1,0,1.105093228515576,Medium,Expensive,Very Good,Medium,-0.6802316555134171,-0.4556611884328836,-0.7165753782830387,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
36,Ireland,Ireland,Europe,-0.022201064570875027,Summer,Temperate,"Pubs,Nature,Castles,Culture","Culture,Relaxation",-0.44212732908198205,-0.41560708035628785,0,1,1,0,1,1,0,0,0,1,1.105093228515576,Medium,Mid-range,Very Good,Medium,0.24735696564124252,0.5207556439232953,-0.4660148458184306,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
37,Chile,Chile,South America,-0.5129614392954779,Spring/Fall,Varied,"Wine,Atacama,Patagonia,Beach","Adventure,Nature",0.3617405419761626,-0.6656142040309382,1,1,0,1,0,1,0,0,0,1,-0.08960215366342027,Low,Mid-range,Very Good,Medium,1.174945586795902,0.5207556439232953,0.12140454145017586,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38,Poland,Poland,Europe,-0.8635045640987657,Spring/Summer,Continental,"History,Food,Cities,Culture","Culture,Budget",-1.2459952001401196,-0.5941835972667524,0,0,1,0,0,1,1,0,1,0,0.5077455374260765,High,Budget,Good,Medium,-1.6078202766680767,-1.4320780207890624,0.7389665491656522,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
39,UAE - Abu Dhabi,UAE,Asia,0.9593196848783307,Winter,Desert,"Mosque,Culture,Beach,Luxury","Luxury,Culture",0.3617405419761626,-0.7013295074130311,1,0,1,0,1,1,0,1,1,0,0.8064193829708275,High,Expensive,Very Good,Medium,-0.6802316555134171,0.5207556439232953,-0.9615233548204399,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
40,Hawaii,USA,Oceania,1.5201886845635912,Year-round,Tropical,"Beach,Volcanoes,Surfing,Hiking","Relaxation,Adventure",1.1656084130343,1.6558805158051004,1,1,0,1,1,1,0,1,0,1,0.5077455374260765,Very High,Expensive,Excellent,Very High,1.174945586795902,1.4971724762794743,-1.107449808927828,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41,Amsterdam,Netherlands,Europe,0.6788851850357005,Spring/Summer,Temperate,"Museums,Canals,Biking,Culture","Culture,Urban",0.3617405419761626,0.7272826278706851,0,0,1,0,0,1,0,0,1,0,0.5077455374260765,Very High,Expensive,Very Good,High,-1.6078202766680767,-1.4320780207890624,-0.8526575874704838,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
42,Bhutan,Bhutan,Asia,1.6604059344849063,Spring/Fall,Mountain,"Temples,Trekking,Culture,Nature","Culture,Adventure",1.1656084130343,-1.5942120919653537,0,1,1,1,0,0,0,1,0,1,1.403767074060327,Low,Expensive,Excellent,Low,0.24735696564124252,0.5207556439232953,-1.1408044270095166,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
43,Madagascar,Madagascar,Africa,-0.7232873141774506,Spring/Fall,Tropical,"Wildlife,Beach,Nature,Adventure","Adventure,Nature",-1.2459952001401196,-1.3442049682907034,1,0,0,1,0,1,1,0,0,1,-1.8816452269319184,Low,Mid-range,Good,Low,0.24735696564124252,-0.4556611884328836,0.40393132289869,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
44,Cuba,Cuba,Caribbean,-1.0037218140200808,Winter,Tropical,"Beach,Music,History,Culture","Culture,Budget",-2.0498630711982573,-0.37989177697419496,1,0,1,0,1,1,1,0,1,0,-2.180319072476667,High,Budget,Good,Medium,-0.6802316555134171,0.5207556439232953,1.1161913965180836,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
45,Finland,Finland,Europe,0.5386679351143854,Winter/Summer,Cold,"Northern Lights,Sauna,Nature,Santa","Nature,Family",0.3617405419761626,-0.9513366310876814,0,0,0,0,1,1,0,0,0,1,1.403767074060327,Low,Expensive,Very Good,Medium,-0.6802316555134171,-1.4320780207890624,-0.788618900794039,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
46,Sri Lanka,Sri Lanka,Asia,-1.0738304389807383,Winter,Tropical,"Beach,Temples,Tea,Wildlife","Budget,Culture",-0.44212732908198205,-0.4870376871204737,1,1,1,1,0,1,1,0,0,1,-0.9856236902976707,Medium,Budget,Very Good,Medium,1.174945586795902,1.4971724762794743,1.5457584475701336,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
47,Malta,Malta,Europe,-0.30263556441350525,Spring/Fall,Mediterranean,"Beach,History,Diving,Culture","Culture,Beach",-0.44212732908198205,-0.8084754175593097,1,0,1,0,1,1,0,0,0,1,0.8064193829708275,High,Mid-range,Very Good,Medium,0.24735696564124252,0.5207556439232953,-0.1977784066999555,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
48,Uruguay,Uruguay,South America,-0.5830700642561355,Summer,Temperate,"Beach,Wine,Relaxation,Culture","Relaxation,Culture",-1.2459952001401196,-1.129913147998146,1,0,1,0,1,1,0,0,0,1,0.2090716918813281,Low,Mid-range,Good,Medium,0.24735696564124252,0.5207556439232953,0.14334836913549726,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
49,Denmark,Denmark,Europe,0.8191024349570156,Summer,Temperate,"Design,Food,Biking,Culture","Culture,Urban",0.3617405419761626,-0.6298989006488452,0,0,1,0,0,1,0,0,1,0,1.105093228515576,Medium,Expensive,Very Good,Medium,-1.6078202766680767,-1.4320780207890624,-0.9099553597599344,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
50,Georgia,Georgia,Asia/Europe,-1.0037218140200808,Spring/Fall,Varied,"Wine,Mountains,History,Food","Culture,Adventure",0.3617405419761626,-1.0227672378518673,0,1,1,1,0,1,1,0,0,1,-0.08960215366342027,Low,Budget,Very Good,Medium,0.24735696564124252,0.5207556439232953,1.324657759528638,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
51,Philippines,Philippines,Asia,-1.0738304389807383,Winter,Tropical,"Beach,Islands,Diving,Adventure","Adventure,Beach",-0.44212732908198205,-0.09416934991745173,1,1,0,1,0,1,1,0,0,1,-1.2842975358424191,High,Budget,Very Good,High,1.174945586795902,0.5207556439232953,1.5457584475701336,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
52,Colombia,Colombia,South America,-0.9336131890594233,Year-round,Varied,"Coffee,Beach,Cities,Culture","Culture,Adventure",-1.2459952001401196,-0.5227529905025665,1,1,1,1,0,1,1,0,1,1,-1.5829713813871689,Medium,Budget,Good,Medium,1.174945586795902,1.4971724762794743,0.9451420730222438,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
53,Seychelles,Seychelles,Africa,2.6419266839341122,Year-round,Tropical,"Beach,Luxury,Diving,Nature","Relaxation,Luxury",1.1656084130343,-1.4156355750548892,1,0,0,0,1,0,0,1,0,1,1.105093228515576,Low,Luxury,Excellent,Low,0.24735696564124252,-0.4556611884328836,-1.315916171938382,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
54,Belgium,Belgium,Europe,0.2582334352717552,Spring/Fall,Temperate,"Chocolate,Beer,History,Cities","Culture,Food",-0.44212732908198205,-0.23703056344582335,0,0,1,0,0,1,0,0,1,0,0.5077455374260765,High,Mid-range,Very Good,Medium,-1.6078202766680767,-1.4320780207890624,-0.6627215678386457,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
55,Montenegro,Montenegro,Europe,-0.653178689216793,Summer,Mediterranean,"Beach,Mountains,History,Nature","Adventure,Budget",-0.44212732908198205,-1.2013437547623318,1,1,1,0,1,1,1,0,0,1,-0.08960215366342027,Medium,Mid-range,Very Good,Medium,1.174945586795902,1.4971724762794743,0.31502655043830635,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
56,Cambodia,Cambodia,Asia,-1.2140476889020535,Winter,Tropical,"Temples,History,Food,Culture","Budget,Culture",-0.44212732908198205,-0.30846117021000913,0,0,1,0,0,1,1,0,0,1,-0.9856236902976707,High,Budget,Very Good,Medium,-0.6802316555134171,-1.4320780207890624,2.3206637161346184,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
57,Ecuador,Ecuador,South America,-0.7933959391381081,Year-round,Varied,"Galapagos,Hiking,Culture,Wildlife","Adventure,Nature",0.3617405419761626,-0.8799060243234956,1,1,1,1,0,1,0,0,0,1,-0.6869498447529196,Low,Budget,Very Good,Medium,1.174945586795902,1.4971724762794743,0.6714631554289011,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
58,Tanzania,Tanzania,Africa,-0.30263556441350525,Summer,Tropical,"Safari,Kilimanjaro,Beach,Wildlife","Adventure,Nature",0.3617405419761626,-0.737044810795124,1,1,0,1,0,1,0,0,0,1,-0.6869498447529196,Medium,Mid-range,Very Good,Medium,1.174945586795902,0.5207556439232953,-0.15987543160712714,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
59,Tunisia,Tunisia,Africa,-1.0037218140200808,Spring/Fall,Mediterranean,"Beach,History,Desert,Culture","Culture,Budget",-2.853730942256402,-0.9870519344697744,1,1,1,0,0,1,1,0,0,1,-1.5829713813871689,Medium,Budget,Good,Medium,1.174945586795902,0.5207556439232953,1.0467026088478988,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60,Estonia,Estonia,Europe,-0.5129614392954779,Summer,Temperate,"Medieval,Digital,Nature,Culture","Culture,Urban",-0.44212732908198205,-1.3084896649086104,0,0,1,0,0,1,1,0,1,0,0.8064193829708275,Low,Mid-range,Very Good,Low,-1.6078202766680767,-1.4320780207890624,0.07751688607953275,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
